16:56:01.459 [main] INFO  StepDefinition.Step_Definition - ******************Execution is Done Successfully**************
17:45:47.572 [main] INFO  StepDefinition.Step_Definition - ***************Verification of Url is Started************
17:45:57.777 [main] INFO  StepDefinition.Step_Definition - ******************Url is verified successfully**************
17:46:05.684 [main] INFO  StepDefinition.Step_Definition - ******************Searching of Doctor is done successfully**************
17:46:24.415 [main] INFO  StepDefinition.Step_Definition - ******************Filteration of Doctor in done successfully**************
17:46:40.200 [main] INFO  StepDefinition.Step_Definition - ******************Doctors details is printed successfully**************
17:46:44.373 [main] INFO  StepDefinition.Step_Definition - ******************Surgeries List is printed successfully**************
17:46:50.485 [main] INFO  StepDefinition.Step_Definition - ******************Health and wellness form is filled withn invalid E-mail successfully**************
17:46:53.798 [main] INFO  StepDefinition.Step_Definition - ******************Health and wellness form is filled withn invalid PhoneNumber successfully**************
17:46:56.937 [main] INFO  StepDefinition.Step_Definition - ******************Health and wellness form is filled withn valid details successfully**************
17:47:12.814 [main] INFO  StepDefinition.Step_Definition - ******************Thank you message is printed successfully**************
17:47:12.814 [main] INFO  StepDefinition.Step_Definition - ******************Execution is Done Successfully**************
